Invoice ID,City,Product line,Unit price,Quantity,Sales,Date,Time
750-67-8428,Berlin,Health and beauty,74.69,7,548.9715,1/5/2019,1:08:00 PM
226-31-3081,Madrid,Electronic accessories,15.28,5,80.22,3/8/2019,10:29:00 AM
631-41-3108,Berlin,Home and lifestyle,46.33,7,340.5255,3/3/2019,1:23:00 PM
123-19-1176,Berlin,Health and beauty,58.22,8,489.048,1/27/2019,8:33:00 PM
373-73-7910,Berlin,Sports and travel,86.31,7,634.3785,2/8/2019,10:37:00 AM
699-14-3026,Madrid,Electronic accessories,85.39,7,627.6165,3/25/2019,6:30:00 PM
355-53-5943,Berlin,Electronic accessories,68.84,6,433.692,2/25/2019,2:36:00 PM
315-22-5665,Madrid,Home and lifestyle,73.56,10,772.38,2/24/2019,11:38:00 AM
665-32-9167,Berlin,Health and beauty,36.26,2,76.146,1/10/2019,5:15:00 PM
692-92-5582,Paris,Food and beverages,54.84,3,172.746,2/20/2019,1:27:00 PM
351-62-0822,Paris,Fashion accessories,14.48,4,60.816,2/6/2019,6:07:00 PM
529-56-3974,Paris,Electronic accessories,25.51,4,107.142,3/9/2019,5:03:00 PM
365-64-0515,Berlin,Electronic accessories,46.95,5,246.4875,2/12/2019,10:25:00 AM
252-56-2699,Berlin,Food and beverages,43.19,10,453.495,2/7/2019,4:48:00 PM
829-34-3910,Berlin,Health and beauty,71.38,10,749.49,3/29/2019,7:21:00 PM
299-46-1805,Paris,Sports and travel,93.72,6,590.436,1/15/2019,4:19:00 PM
656-95-9349,Berlin,Health and beauty,68.93,7,506.6355,3/11/2019,11:03:00 AM
765-26-6951,Berlin,Sports and travel,72.61,6,457.443,1/1/2019,10:39:00 AM
329-62-1586,Berlin,Food and beverages,54.67,3,172.2105,1/21/2019,6:00:00 PM
319-50-3348,Paris,Home and lifestyle,40.3,2,84.63,3/11/2019,3:30:00 PM
300-71-4605,Madrid,Electronic accessories,86.04,5,451.71,2/25/2019,11:24:00 AM
371-85-5789,Paris,Health and beauty,87.98,3,277.137,3/5/2019,10:40:00 AM
273-16-6619,Paris,Home and lifestyle,33.2,2,69.72,3/15/2019,12:20:00 PM
636-48-8204,Berlin,Electronic accessories,34.56,5,181.44,2/17/2019,11:15:00 AM
549-59-1358,Berlin,Sports and travel,88.63,3,279.1845,3/2/2019,5:36:00 PM
227-03-5010,Berlin,Home and lifestyle,52.59,8,441.756,3/22/2019,7:20:00 PM
649-29-6775,Paris,Fashion accessories,33.52,1,35.196,2/8/2019,3:31:00 PM
189-17-4241,Berlin,Fashion accessories,87.67,2,184.107,3/10/2019,12:17:00 PM
145-94-9061,Paris,Food and beverages,88.36,5,463.89,1/25/2019,7:48:00 PM
848-62-7243,Berlin,Health and beauty,24.89,9,235.2105,3/15/2019,3:36:00 PM
871-79-8483,Paris,Fashion accessories,94.13,5,494.1825,2/25/2019,7:39:00 PM
149-71-6266,Paris,Sports and travel,78.07,9,737.7615,1/28/2019,12:43:00 PM
640-49-2076,Paris,Sports and travel,83.78,8,703.752,1/10/2019,2:49:00 PM
595-11-5460,Berlin,Health and beauty,96.58,2,202.818,3/15/2019,10:12:00 AM
183-56-6882,Madrid,Food and beverages,99.42,4,417.564,2/6/2019,10:42:00 AM
232-16-2483,Madrid,Sports and travel,68.12,1,71.526,1/7/2019,12:28:00 PM
129-29-8530,Berlin,Sports and travel,62.62,5,328.755,3/10/2019,7:15:00 PM
272-65-1806,Berlin,Electronic accessories,60.88,9,575.316,1/15/2019,5:17:00 PM
333-73-7901,Madrid,Health and beauty,54.92,8,461.328,3/23/2019,1:24:00 PM
777-82-7220,Paris,Home and lifestyle,30.12,8,253.008,3/3/2019,1:01:00 PM
280-35-5823,Paris,Home and lifestyle,86.72,1,91.056,1/17/2019,6:45:00 PM
554-53-8700,Madrid,Home and lifestyle,56.11,2,117.831,2/2/2019,10:11:00 AM
354-25-5821,Paris,Sports and travel,69.12,6,435.456,2/8/2019,1:03:00 PM
228-96-1411,Madrid,Food and beverages,98.7,8,829.08,3/4/2019,8:39:00 PM
617-15-4209,Madrid,Health and beauty,15.37,2,32.277,3/16/2019,7:47:00 PM
132-32-9879,Paris,Electronic accessories,93.96,4,394.632,3/9/2019,6:00:00 PM
370-41-7321,Paris,Health and beauty,56.69,9,535.7205,2/27/2019,5:24:00 PM
727-46-3608,Paris,Food and beverages,20.01,9,189.0945,2/6/2019,3:47:00 PM
669-54-1719,Paris,Electronic accessories,18.93,6,119.259,2/10/2019,12:45:00 PM
574-22-5561,Madrid,Fashion accessories,82.63,10,867.615,3/19/2019,5:08:00 PM
326-78-5178,Madrid,Food and beverages,91.4,7,671.79,2/3/2019,10:19:00 AM
162-48-8011,Berlin,Food and beverages,44.59,5,234.0975,2/10/2019,3:10:00 PM
616-24-2851,Paris,Fashion accessories,17.87,4,75.054,3/22/2019,2:42:00 PM
778-71-5554,Madrid,Fashion accessories,15.43,1,16.2015,1/25/2019,3:46:00 PM
242-55-6721,Paris,Home and lifestyle,16.16,2,33.936,3/7/2019,11:49:00 AM
399-46-5918,Madrid,Electronic accessories,85.98,8,722.232,2/28/2019,7:01:00 PM
106-35-6779,Berlin,Home and lifestyle,44.34,2,93.114,3/27/2019,11:26:00 AM
635-40-6220,Berlin,Health and beauty,89.6,8,752.64,2/7/2019,11:28:00 AM
817-48-8732,Berlin,Home and lifestyle,72.35,10,759.675,1/20/2019,3:55:00 PM
120-06-4233,Madrid,Electronic accessories,30.61,6,192.843,3/12/2019,8:36:00 PM
285-68-5083,Madrid,Sports and travel,24.74,3,77.931,2/15/2019,5:47:00 PM
803-83-5989,Madrid,Home and lifestyle,55.73,6,351.099,2/24/2019,10:55:00 AM
347-34-2234,Paris,Sports and travel,55.07,9,520.4115,2/3/2019,1:40:00 PM
199-75-8169,Berlin,Sports and travel,15.81,10,166.005,3/6/2019,12:27:00 PM
853-23-2453,Paris,Health and beauty,75.74,4,318.108,2/14/2019,2:35:00 PM
877-22-3308,Berlin,Health and beauty,15.87,10,166.635,3/13/2019,4:40:00 PM
838-78-4295,Madrid,Health and beauty,33.47,2,70.287,2/10/2019,3:43:00 PM
109-28-2512,Paris,Fashion accessories,97.61,6,614.943,1/7/2019,3:01:00 PM
232-11-3025,Berlin,Sports and travel,78.77,10,827.085,1/24/2019,10:04:00 AM
382-03-4532,Berlin,Health and beauty,18.33,1,19.2465,2/2/2019,6:50:00 PM
393-65-2792,Madrid,Food and beverages,89.48,10,939.54,1/6/2019,12:46:00 PM
796-12-2025,Madrid,Fashion accessories,62.12,10,652.26,2/11/2019,4:19:00 PM
510-95-6347,Paris,Food and beverages,48.52,3,152.838,3/5/2019,6:17:00 PM
841-35-6630,Madrid,Electronic accessories,75.91,6,478.233,3/9/2019,6:21:00 PM
287-21-9091,Berlin,Home and lifestyle,74.67,9,705.6315,1/22/2019,10:55:00 AM
732-94-0499,Madrid,Electronic accessories,41.65,10,437.325,1/13/2019,5:04:00 PM
263-10-3913,Madrid,Fashion accessories,49.04,9,463.428,1/9/2019,2:20:00 PM
381-20-0914,Berlin,Fashion accessories,20.01,9,189.0945,1/12/2019,3:48:00 PM
829-49-1914,Madrid,Food and beverages,78.31,10,822.255,3/5/2019,4:24:00 PM
756-01-7507,Madrid,Health and beauty,20.38,5,106.995,1/22/2019,6:56:00 PM
870-72-4431,Madrid,Health and beauty,99.19,6,624.897,1/21/2019,2:42:00 PM
847-38-7188,Paris,Food and beverages,96.68,3,304.542,1/26/2019,7:56:00 PM
480-63-2856,Madrid,Food and beverages,19.25,8,161.7,1/23/2019,6:37:00 PM
787-56-0757,Madrid,Food and beverages,80.36,4,337.512,2/23/2019,6:45:00 PM
360-39-5055,Madrid,Sports and travel,48.91,5,256.7775,3/9/2019,10:17:00 AM
730-50-9884,Madrid,Sports and travel,83.06,7,610.491,3/5/2019,2:31:00 PM
362-58-8315,Madrid,Fashion accessories,76.52,5,401.73,3/25/2019,10:23:00 AM
633-44-8566,Berlin,Food and beverages,49.38,7,362.943,3/27/2019,8:35:00 PM
504-35-8843,Berlin,Sports and travel,42.47,1,44.5935,1/2/2019,4:57:00 PM
318-68-5053,Paris,Health and beauty,76.99,6,485.037,2/27/2019,5:55:00 PM
565-80-5980,Madrid,Home and lifestyle,47.38,4,198.996,1/23/2019,10:25:00 AM
225-32-0908,Madrid,Sports and travel,44.86,10,471.03,1/26/2019,7:54:00 PM
873-51-0671,Berlin,Sports and travel,21.98,7,161.553,1/10/2019,4:42:00 PM
152-08-9985,Paris,Health and beauty,64.36,9,608.202,3/12/2019,12:09:00 PM
512-91-0811,Madrid,Health and beauty,89.75,1,94.2375,2/6/2019,8:05:00 PM
594-34-4444,Berlin,Electronic accessories,97.16,1,102.018,3/8/2019,8:38:00 PM
766-85-7061,Paris,Health and beauty,87.87,10,922.635,3/29/2019,10:25:00 AM
871-39-9221,Madrid,Electronic accessories,12.45,6,78.435,2/9/2019,1:11:00 PM
865-92-6136,Berlin,Food and beverages,52.75,3,166.1625,3/23/2019,10:16:00 AM
733-01-9107,Paris,Home and lifestyle,82.7,6,521.01,3/5/2019,6:14:00 PM
163-56-7055,Madrid,Fashion accessories,48.71,1,51.1455,3/26/2019,7:20:00 PM
189-98-2939,Madrid,Fashion accessories,78.55,9,742.2975,3/1/2019,1:22:00 PM
551-21-3069,Madrid,Electronic accessories,23.07,9,218.0115,2/1/2019,11:27:00 AM
212-62-1842,Berlin,Food and beverages,58.26,6,367.038,3/28/2019,4:44:00 PM
716-39-1409,Paris,Health and beauty,30.35,7,223.0725,3/19/2019,6:19:00 PM
704-48-3927,Berlin,Electronic accessories,88.67,10,931.035,1/12/2019,2:50:00 PM
628-34-3388,Madrid,Fashion accessories,27.38,6,172.494,1/5/2019,8:54:00 PM
630-74-5166,Berlin,Sports and travel,62.13,6,391.419,3/22/2019,8:19:00 PM
588-01-7461,Madrid,Food and beverages,33.98,9,321.111,3/24/2019,10:43:00 AM
861-77-0145,Madrid,Electronic accessories,81.97,10,860.685,3/3/2019,2:30:00 PM
479-26-8945,Paris,Sports and travel,16.49,2,34.629,2/5/2019,11:32:00 AM
210-67-5886,Madrid,Health and beauty,98.21,3,309.3615,2/5/2019,10:41:00 AM
227-78-1148,Paris,Fashion accessories,72.84,7,535.374,2/15/2019,12:44:00 PM
645-44-1170,Berlin,Home and lifestyle,58.07,9,548.7615,1/19/2019,8:07:00 PM
237-01-6122,Madrid,Home and lifestyle,80.79,9,763.4655,2/1/2019,8:31:00 PM
225-98-1496,Madrid,Fashion accessories,27.02,3,85.113,3/2/2019,1:01:00 PM
291-32-1427,Paris,Fashion accessories,21.94,5,115.185,3/5/2019,12:29:00 PM
659-65-8956,Paris,Fashion accessories,51.36,1,53.928,1/16/2019,3:26:00 PM
642-32-2990,Berlin,Food and beverages,10.96,10,115.08,2/2/2019,8:48:00 PM
378-24-2715,Paris,Home and lifestyle,53.44,2,112.224,1/20/2019,8:38:00 PM
638-60-7125,Berlin,Electronic accessories,99.56,8,836.304,2/14/2019,5:03:00 PM
659-36-1684,Madrid,Sports and travel,57.12,7,419.832,1/12/2019,12:02:00 PM
219-22-9386,Paris,Sports and travel,99.96,9,944.622,3/9/2019,5:26:00 PM
336-78-2147,Madrid,Home and lifestyle,63.91,8,536.844,3/13/2019,7:52:00 PM
